"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test of correct filter operation with filters","7326","Test for displaying the number of exercises with two filter muscle and difficulty. The number of exercises may vary","Surefire suite","Sun Jan 19 14:17:12 GMT 2025","passed","Sun Jan 19 14:17:19 GMT 2025","tests.ExerciseDatabasePageTest","Surefire test","tests.ExerciseDatabasePageTest","checkCorrectnessOfFiltersOperation"
"Test add new note and delete after assert","7056","Test for creating a note on the Progress page and deleting it","Surefire suite","Sun Jan 19 14:17:31 GMT 2025","passed","Sun Jan 19 14:17:38 GMT 2025","tests.ProgressPageTest","Surefire test","tests.ProgressPageTest","checkAddNewNote"
"Test filter by muscles with validation of the number of exercises","5356","Test for displaying the number of exercises with a single filter by muscle. The number of exercises may vary","Surefire suite","Sun Jan 19 14:17:25 GMT 2025","passed","Sun Jan 19 14:17:31 GMT 2025","tests.ExerciseDatabasePageTest","Surefire test","tests.ExerciseDatabasePageTest","checkCountExercisesWithFilterByMuscle"
"Workout Sorting Test (Most Viewed).","5191","Test to display the most viewed workout","Surefire suite","Sun Jan 19 14:16:59 GMT 2025","passed","Sun Jan 19 14:17:04 GMT 2025","tests.RoutineDatabasePageTest","Surefire test","tests.RoutineDatabasePageTest","checkMostViewedPlan"
"Test filter by equipment with validation of the number of exercises","5487","Test for displaying the number of exercises with a single filter by equipment. The number of exercises may vary","Surefire suite","Sun Jan 19 14:17:20 GMT 2025","passed","Sun Jan 19 14:17:25 GMT 2025","tests.ExerciseDatabasePageTest","Surefire test","tests.ExerciseDatabasePageTest","checkCountExercisesWithFilterByEquipment"
"Test add session and delete after assert","8745","Test for creating a training session on the Progress page with name - Training Summary 1","Surefire suite","Sun Jan 19 14:17:39 GMT 2025","passed","Sun Jan 19 14:17:47 GMT 2025","tests.ProgressPageTest","Surefire test","tests.ProgressPageTest","checkAddSession"
"Test create custom exercises and delete after assert","7399","Test creating your own exercise with 4 parameters. And a comparison by name.","Surefire suite","Sun Jan 19 14:16:51 GMT 2025","passed","Sun Jan 19 14:16:59 GMT 2025","tests.ExercisesPageTest","Surefire test","tests.ExercisesPageTest","checkCreateCustomExercises"
"Select most popular post","6632","Checking that the most popular article on a blog page matches the expected title.","Surefire suite","Sun Jan 19 14:16:05 GMT 2025","passed","Sun Jan 19 14:16:12 GMT 2025","tests.BlogPageTest","Surefire test","tests.BlogPageTest","checkPopularPost"
"Test of choosing a training plan and transition to creating a printed version. and delete after assert","15478","Testing the ability to download the selected workout","Surefire suite","Sun Jan 19 14:16:36 GMT 2025","passed","Sun Jan 19 14:16:51 GMT 2025","tests.WorkoutsPageTest","Surefire test","tests.WorkoutsPageTest","checkPrintablePlan"
"Check create new post at page Discover. And Delete post after assert","6629","Creating a post. Comparison by string. And deletion based on partial match of post text","Surefire suite","Sun Jan 19 14:17:48 GMT 2025","passed","Sun Jan 19 14:17:54 GMT 2025","tests.DiscoverPageTest","Surefire test","tests.DiscoverPageTest","checkCreateNewPost"
"Test search workouts plan with filters","6728","Test for sorting workouts by two filters and comparing their number","Surefire suite","Sun Jan 19 14:17:05 GMT 2025","passed","Sun Jan 19 14:17:11 GMT 2025","tests.RoutineDatabasePageTest","Surefire test","tests.RoutineDatabasePageTest","checkSearchWorkoutsPlans"
"Test creating a new training day and delete after assert","22666","Test for creating a training day with the necessary parameters","Surefire suite","Sun Jan 19 14:16:13 GMT 2025","passed","Sun Jan 19 14:16:35 GMT 2025","tests.WorkoutsPageTest","Surefire test","tests.WorkoutsPageTest","checkCreateNewDayPlan"
