"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Workout Sorting Test (Most Viewed). And delete after assert","4579","checkMostViewedPlan","Surefire suite","Wed Jan 15 12:03:01 GMT 2025","passed","Wed Jan 15 12:03:05 GMT 2025","tests.RoutineDatabasePageTest","Surefire test","tests.RoutineDatabasePageTest","checkMostViewedPlan"
"Check create new post at page Discover. And Delete post after assert","5208","checkCreateNewPost","Surefire suite","Wed Jan 15 12:03:38 GMT 2025","passed","Wed Jan 15 12:03:44 GMT 2025","tests.DiscoverPageTest","Surefire test","tests.DiscoverPageTest","checkCreateNewPost"
"Test filter by equipment with validation of the number of exercises","3672","checkCountExercisesWithFilterByEquipment","Surefire suite","Wed Jan 15 12:03:17 GMT 2025","passed","Wed Jan 15 12:03:21 GMT 2025","tests.ExerciseDatabasePageTest","Surefire test","tests.ExerciseDatabasePageTest","checkCountExercisesWithFilterByEquipment"
"Test add new note and delete after assert","5219","checkAddNewNote","Surefire suite","Wed Jan 15 12:03:25 GMT 2025","passed","Wed Jan 15 12:03:31 GMT 2025","tests.ProgressPageTest","Surefire test","tests.ProgressPageTest","checkAddNewNote"
"Test of correct filter operation with filters","5315","checkCorrectnessOfFiltersOperation","Surefire suite","Wed Jan 15 12:03:11 GMT 2025","passed","Wed Jan 15 12:03:17 GMT 2025","tests.ExerciseDatabasePageTest","Surefire test","tests.ExerciseDatabasePageTest","checkCorrectnessOfFiltersOperation"
"Select most popular post","4775","checkPopularPost","Surefire suite","Wed Jan 15 12:02:18 GMT 2025","passed","Wed Jan 15 12:02:23 GMT 2025","tests.BlogPageTest","Surefire test","tests.BlogPageTest","checkPopularPost"
"Test create custom exercises and delete after assert","5538","checkCreateCustomExercises","Surefire suite","Wed Jan 15 12:02:55 GMT 2025","passed","Wed Jan 15 12:03:00 GMT 2025","tests.ExercisesPageTest","Surefire test","tests.ExercisesPageTest","checkCreateCustomExercises"
"Test filter by muscles with validation of the number of exercises","3719","checkCountExercisesWithFilterByMuscle","Surefire suite","Wed Jan 15 12:03:21 GMT 2025","passed","Wed Jan 15 12:03:25 GMT 2025","tests.ExerciseDatabasePageTest","Surefire test","tests.ExerciseDatabasePageTest","checkCountExercisesWithFilterByMuscle"
"Test of choosing a training plan and transition to creating a printed version. and delete after assert","13835","checkPrintablePlan","Surefire suite","Wed Jan 15 12:02:41 GMT 2025","passed","Wed Jan 15 12:02:54 GMT 2025","tests.WorkoutsPageTest","Surefire test","tests.WorkoutsPageTest","checkPrintablePlan"
"Test add session and delete after assert","7170","checkAddSession","Surefire suite","Wed Jan 15 12:03:31 GMT 2025","passed","Wed Jan 15 12:03:38 GMT 2025","tests.ProgressPageTest","Surefire test","tests.ProgressPageTest","checkAddSession"
"Test search workouts plan with filters and delete after assert","5450","checkSearchWorkoutsPlans","Surefire suite","Wed Jan 15 12:03:06 GMT 2025","passed","Wed Jan 15 12:03:11 GMT 2025","tests.RoutineDatabasePageTest","Surefire test","tests.RoutineDatabasePageTest","checkSearchWorkoutsPlans"
"Test creating a new training day and delete after assert","16748","checkCreateNewDayPlan","Surefire suite","Wed Jan 15 12:02:23 GMT 2025","passed","Wed Jan 15 12:02:40 GMT 2025","tests.WorkoutsPageTest","Surefire test","tests.WorkoutsPageTest","checkCreateNewDayPlan"
