"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test of choosing a training plan and transition to creating a printed version. and delete after assert","13257","checkPrintablePlan","Surefire suite","Wed Jan 15 11:33:24 GMT 2025","passed","Wed Jan 15 11:33:37 GMT 2025","tests.WorkoutsPageTest","Surefire test","tests.WorkoutsPageTest","checkPrintablePlan"
"Test add new note and delete after assert","5284","checkAddNewNote","Surefire suite","Wed Jan 15 11:37:08 GMT 2025","passed","Wed Jan 15 11:37:13 GMT 2025","tests.ProgressPageTest","Surefire test","tests.ProgressPageTest","checkAddNewNote"
"Workout Sorting Test (Most Viewed). And delete after assert","3818","checkMostViewedPlan","Surefire suite","Wed Jan 15 11:33:43 GMT 2025","passed","Wed Jan 15 11:33:47 GMT 2025","tests.RoutineDatabasePageTest","Surefire test","tests.RoutineDatabasePageTest","checkMostViewedPlan"
"Test search workouts plan with filters and delete after assert","5350","checkSearchWorkoutsPlans","Surefire suite","Wed Jan 15 11:33:47 GMT 2025","passed","Wed Jan 15 11:33:53 GMT 2025","tests.RoutineDatabasePageTest","Surefire test","tests.RoutineDatabasePageTest","checkSearchWorkoutsPlans"
"Test of correct filter operation with filters","5318","checkCorrectnessOfFiltersOperation","Surefire suite","Wed Jan 15 11:33:53 GMT 2025","passed","Wed Jan 15 11:33:58 GMT 2025","tests.ExerciseDatabasePageTest","Surefire test","tests.ExerciseDatabasePageTest","checkCorrectnessOfFiltersOperation"
"Select most popular post","5106","checkPopularPost","Surefire suite","Wed Jan 15 11:32:54 GMT 2025","passed","Wed Jan 15 11:32:59 GMT 2025","tests.BlogPageTest","Surefire test","tests.BlogPageTest","checkPopularPost"
"Test add session and delete after assert","7032","checkAddSession","Surefire suite","Wed Jan 15 11:37:14 GMT 2025","passed","Wed Jan 15 11:37:21 GMT 2025","tests.ProgressPageTest","Surefire test","tests.ProgressPageTest","checkAddSession"
"Test filter by equipment with validation of the number of exercises","94395","checkCountExercisesWithFilterByEquipment","Surefire suite","Wed Jan 15 11:33:59 GMT 2025","failed","Wed Jan 15 11:35:33 GMT 2025","tests.ExerciseDatabasePageTest","Surefire test","tests.ExerciseDatabasePageTest","checkCountExercisesWithFilterByEquipment"
"Check create new post at page Discover. And Delete post after assert","5198","checkCreateNewPost","Surefire suite","Wed Jan 15 11:37:21 GMT 2025","passed","Wed Jan 15 11:37:26 GMT 2025","tests.DiscoverPageTest","Surefire test","tests.DiscoverPageTest","checkCreateNewPost"
"Test filter by muscles with validation of the number of exercises","94116","checkCountExercisesWithFilterByMuscle","Surefire suite","Wed Jan 15 11:35:34 GMT 2025","failed","Wed Jan 15 11:37:08 GMT 2025","tests.ExerciseDatabasePageTest","Surefire test","tests.ExerciseDatabasePageTest","checkCountExercisesWithFilterByMuscle"
"Test creating a new training day and delete after assert","24007","checkCreateNewDayPlan","Surefire suite","Wed Jan 15 11:33:00 GMT 2025","passed","Wed Jan 15 11:33:24 GMT 2025","tests.WorkoutsPageTest","Surefire test","tests.WorkoutsPageTest","checkCreateNewDayPlan"
"Test create custom exercises and delete after assert","5234","checkCreateCustomExercises","Surefire suite","Wed Jan 15 11:33:38 GMT 2025","passed","Wed Jan 15 11:33:43 GMT 2025","tests.ExercisesPageTest","Surefire test","tests.ExercisesPageTest","checkCreateCustomExercises"
