"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test of correct filter operation with filters","6619","Test for displaying the number of exercises with two filter muscle and difficulty. The number of exercises may vary","Surefire suite","Sun Jan 19 13:20:27 GMT 2025","passed","Sun Jan 19 13:20:33 GMT 2025","tests.ExerciseDatabasePageTest","Surefire test","tests.ExerciseDatabasePageTest","checkCorrectnessOfFiltersOperation"
"Test add new note and delete after assert","6505","Test for creating a note on the Progress page and deleting it","Surefire suite","Sun Jan 19 13:20:44 GMT 2025","passed","Sun Jan 19 13:20:51 GMT 2025","tests.ProgressPageTest","Surefire test","tests.ProgressPageTest","checkAddNewNote"
"Test of choosing a training plan and transition to creating a printed version. and delete after assert","15161","Testing the ability to download the selected workout","Surefire suite","Sun Jan 19 13:19:53 GMT 2025","passed","Sun Jan 19 13:20:08 GMT 2025","tests.WorkoutsPageTest","Surefire test","tests.WorkoutsPageTest","checkPrintablePlan"
"Check create new post at page Discover. And Delete post after assert","8097","Creating a post. Comparison by string. And deletion based on partial match of post text","Surefire suite","Sun Jan 19 13:21:00 GMT 2025","passed","Sun Jan 19 13:21:08 GMT 2025","tests.DiscoverPageTest","Surefire test","tests.DiscoverPageTest","checkCreateNewPost"
"Test filter by equipment with validation of the number of exercises","4949","Test for displaying the number of exercises with a single filter by equipment. The number of exercises may vary","Surefire suite","Sun Jan 19 13:20:34 GMT 2025","passed","Sun Jan 19 13:20:39 GMT 2025","tests.ExerciseDatabasePageTest","Surefire test","tests.ExerciseDatabasePageTest","checkCountExercisesWithFilterByEquipment"
"Test creating a new training day and delete after assert","18770","Test for creating a training day with the necessary parameters","Surefire suite","Sun Jan 19 13:19:33 GMT 2025","passed","Sun Jan 19 13:19:52 GMT 2025","tests.WorkoutsPageTest","Surefire test","tests.WorkoutsPageTest","checkCreateNewDayPlan"
"Test filter by muscles with validation of the number of exercises","4783","Test for displaying the number of exercises with a single filter by muscle. The number of exercises may vary","Surefire suite","Sun Jan 19 13:20:39 GMT 2025","passed","Sun Jan 19 13:20:44 GMT 2025","tests.ExerciseDatabasePageTest","Surefire test","tests.ExerciseDatabasePageTest","checkCountExercisesWithFilterByMuscle"
"Workout Sorting Test (Most Viewed).","4713","Test to display the most viewed workout","Surefire suite","Sun Jan 19 13:20:15 GMT 2025","passed","Sun Jan 19 13:20:20 GMT 2025","tests.RoutineDatabasePageTest","Surefire test","tests.RoutineDatabasePageTest","checkMostViewedPlan"
"Test add session and delete after assert","8485","Test for creating a training session on the Progress page with name - Training Summary 1","Surefire suite","Sun Jan 19 13:20:51 GMT 2025","passed","Sun Jan 19 13:21:00 GMT 2025","tests.ProgressPageTest","Surefire test","tests.ProgressPageTest","checkAddSession"
"Test search workouts plan with filters","6238","Test for sorting workouts by two filters and comparing their number","Surefire suite","Sun Jan 19 13:20:20 GMT 2025","passed","Sun Jan 19 13:20:26 GMT 2025","tests.RoutineDatabasePageTest","Surefire test","tests.RoutineDatabasePageTest","checkSearchWorkoutsPlans"
"Test create custom exercises and delete after assert","6702","Test creating your own exercise with 4 parameters. And a comparison by name.","Surefire suite","Sun Jan 19 13:20:08 GMT 2025","passed","Sun Jan 19 13:20:15 GMT 2025","tests.ExercisesPageTest","Surefire test","tests.ExercisesPageTest","checkCreateCustomExercises"
"Select most popular post","6330","Checking that the most popular article on a blog page matches the expected title.","Surefire suite","Sun Jan 19 13:19:27 GMT 2025","passed","Sun Jan 19 13:19:33 GMT 2025","tests.BlogPageTest","Surefire test","tests.BlogPageTest","checkPopularPost"
