"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test of correct filter operation with filters","12993","Test for displaying the number of exercises with two filter muscle and difficulty. The number of exercises may vary","Surefire suite","Sun Jan 19 18:38:47 GMT 2025","passed","Sun Jan 19 18:39:00 GMT 2025","tests.ExerciseDatabasePageTest","Surefire test","tests.ExerciseDatabasePageTest","checkCorrectnessOfFiltersOperation"
"Test filter by equipment with validation of the number of exercises","5381","Test for displaying the number of exercises with a single filter by equipment. The number of exercises may vary","Surefire suite","Sun Jan 19 18:39:00 GMT 2025","passed","Sun Jan 19 18:39:05 GMT 2025","tests.ExerciseDatabasePageTest","Surefire test","tests.ExerciseDatabasePageTest","checkCountExercisesWithFilterByEquipment"
"Test filter by muscles with validation of the number of exercises","5449","Test for displaying the number of exercises with a single filter by muscle. The number of exercises may vary","Surefire suite","Sun Jan 19 18:39:06 GMT 2025","passed","Sun Jan 19 18:39:11 GMT 2025","tests.ExerciseDatabasePageTest","Surefire test","tests.ExerciseDatabasePageTest","checkCountExercisesWithFilterByMuscle"
"Test creating a new training day and delete after assert","19866","Test for creating a training day with the necessary parameters","Surefire suite","Sun Jan 19 18:37:51 GMT 2025","passed","Sun Jan 19 18:38:11 GMT 2025","tests.WorkoutsPageTest","Surefire test","tests.WorkoutsPageTest","checkCreateNewDayPlan"
"Test search workouts plan with filters","6767","Test for sorting workouts by two filters and comparing their number","Surefire suite","Sun Jan 19 18:38:40 GMT 2025","passed","Sun Jan 19 18:38:46 GMT 2025","tests.RoutineDatabasePageTest","Surefire test","tests.RoutineDatabasePageTest","checkSearchWorkoutsPlans"
"Check create new post at page Discover. And Delete post after assert","6302","Creating a post. Comparison by string. And deletion based on partial match of post text","Surefire suite","Sun Jan 19 18:39:28 GMT 2025","passed","Sun Jan 19 18:39:35 GMT 2025","tests.DiscoverPageTest","Surefire test","tests.DiscoverPageTest","checkCreateNewPost"
"Test create custom exercises and delete after assert","7134","Test creating your own exercise with 4 parameters. And a comparison by name.","Surefire suite","Sun Jan 19 18:38:27 GMT 2025","passed","Sun Jan 19 18:38:34 GMT 2025","tests.ExercisesPageTest","Surefire test","tests.ExercisesPageTest","checkCreateCustomExercises"
"Test add new note and delete after assert","7102","Test for creating a note on the Progress page and deleting it","Surefire suite","Sun Jan 19 18:39:12 GMT 2025","passed","Sun Jan 19 18:39:19 GMT 2025","tests.ProgressPageTest","Surefire test","tests.ProgressPageTest","checkAddNewNote"
"Test add session and delete after assert","8917","Test for creating a training session on the Progress page with name - Training Summary 1","Surefire suite","Sun Jan 19 18:39:19 GMT 2025","passed","Sun Jan 19 18:39:28 GMT 2025","tests.ProgressPageTest","Surefire test","tests.ProgressPageTest","checkAddSession"
"Select most popular post","7380","Checking that the most popular article on a blog page matches the expected title.","Surefire suite","Sun Jan 19 18:37:43 GMT 2025","passed","Sun Jan 19 18:37:50 GMT 2025","tests.BlogPageTest","Surefire test","tests.BlogPageTest","checkPopularPost"
"Test of choosing a training plan and transition to creating a printed version. and delete after assert","15310","Testing the ability to download the selected workout","Surefire suite","Sun Jan 19 18:38:11 GMT 2025","passed","Sun Jan 19 18:38:26 GMT 2025","tests.WorkoutsPageTest","Surefire test","tests.WorkoutsPageTest","checkPrintablePlan"
"Workout Sorting Test (Most Viewed).","5083","Test to display the most viewed workout","Surefire suite","Sun Jan 19 18:38:34 GMT 2025","passed","Sun Jan 19 18:38:39 GMT 2025","tests.RoutineDatabasePageTest","Surefire test","tests.RoutineDatabasePageTest","checkMostViewedPlan"
