"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test creating a new training day and delete after assert","16820","checkCreateNewDayPlan","Surefire suite","Wed Jan 15 11:29:47 GMT 2025","passed","Wed Jan 15 11:30:03 GMT 2025","tests.WorkoutsPageTest","Surefire test","tests.WorkoutsPageTest","checkCreateNewDayPlan"
"Test add session and delete after assert","7248","checkAddSession","Surefire suite","Wed Jan 15 11:34:00 GMT 2025","passed","Wed Jan 15 11:34:07 GMT 2025","tests.ProgressPageTest","Surefire test","tests.ProgressPageTest","checkAddSession"
"Test of correct filter operation with filters","5313","checkCorrectnessOfFiltersOperation","Surefire suite","Wed Jan 15 11:30:41 GMT 2025","passed","Wed Jan 15 11:30:46 GMT 2025","tests.ExerciseDatabasePageTest","Surefire test","tests.ExerciseDatabasePageTest","checkCorrectnessOfFiltersOperation"
"Test of choosing a training plan and transition to creating a printed version. and delete after assert","20467","checkPrintablePlan","Surefire suite","Wed Jan 15 11:30:04 GMT 2025","passed","Wed Jan 15 11:30:24 GMT 2025","tests.WorkoutsPageTest","Surefire test","tests.WorkoutsPageTest","checkPrintablePlan"
"Test search workouts plan with filters and delete after assert","5279","checkSearchWorkoutsPlans","Surefire suite","Wed Jan 15 11:30:35 GMT 2025","passed","Wed Jan 15 11:30:40 GMT 2025","tests.RoutineDatabasePageTest","Surefire test","tests.RoutineDatabasePageTest","checkSearchWorkoutsPlans"
"Test filter by equipment with validation of the number of exercises","93458","checkCountExercisesWithFilterByEquipment","Surefire suite","Wed Jan 15 11:30:46 GMT 2025","failed","Wed Jan 15 11:32:20 GMT 2025","tests.ExerciseDatabasePageTest","Surefire test","tests.ExerciseDatabasePageTest","checkCountExercisesWithFilterByEquipment"
"Test filter by muscles with validation of the number of exercises","93123","checkCountExercisesWithFilterByMuscle","Surefire suite","Wed Jan 15 11:32:20 GMT 2025","failed","Wed Jan 15 11:33:53 GMT 2025","tests.ExerciseDatabasePageTest","Surefire test","tests.ExerciseDatabasePageTest","checkCountExercisesWithFilterByMuscle"
"Test create custom exercises and delete after assert","5269","checkCreateCustomExercises","Surefire suite","Wed Jan 15 11:30:25 GMT 2025","passed","Wed Jan 15 11:30:30 GMT 2025","tests.ExercisesPageTest","Surefire test","tests.ExercisesPageTest","checkCreateCustomExercises"
"Select most popular post","6671","checkPopularPost","Surefire suite","Wed Jan 15 11:29:39 GMT 2025","passed","Wed Jan 15 11:29:46 GMT 2025","tests.BlogPageTest","Surefire test","tests.BlogPageTest","checkPopularPost"
"Test add new note and delete after assert","5992","checkAddNewNote","Surefire suite","Wed Jan 15 11:33:54 GMT 2025","passed","Wed Jan 15 11:34:00 GMT 2025","tests.ProgressPageTest","Surefire test","tests.ProgressPageTest","checkAddNewNote"
"Workout Sorting Test (Most Viewed). And delete after assert","4417","checkMostViewedPlan","Surefire suite","Wed Jan 15 11:30:30 GMT 2025","passed","Wed Jan 15 11:30:35 GMT 2025","tests.RoutineDatabasePageTest","Surefire test","tests.RoutineDatabasePageTest","checkMostViewedPlan"
"Check create new post at page Discover. And Delete post after assert","5363","checkCreateNewPost","Surefire suite","Wed Jan 15 11:34:08 GMT 2025","passed","Wed Jan 15 11:34:13 GMT 2025","tests.DiscoverPageTest","Surefire test","tests.DiscoverPageTest","checkCreateNewPost"
