"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test of choosing a training plan and transition to creating a printed version. and delete after assert","14492","Testing the ability to download the selected workout","Surefire suite","Sun Jan 19 14:11:48 GMT 2025","passed","Sun Jan 19 14:12:02 GMT 2025","tests.WorkoutsPageTest","Surefire test","tests.WorkoutsPageTest","checkPrintablePlan"
"Test create custom exercises and delete after assert","6335","Test creating your own exercise with 4 parameters. And a comparison by name.","Surefire suite","Sun Jan 19 14:12:03 GMT 2025","passed","Sun Jan 19 14:12:09 GMT 2025","tests.ExercisesPageTest","Surefire test","tests.ExercisesPageTest","checkCreateCustomExercises"
"Test add new note and delete after assert","6066","Test for creating a note on the Progress page and deleting it","Surefire suite","Sun Jan 19 14:12:36 GMT 2025","passed","Sun Jan 19 14:12:42 GMT 2025","tests.ProgressPageTest","Surefire test","tests.ProgressPageTest","checkAddNewNote"
"Check create new post at page Discover. And Delete post after assert","5855","Creating a post. Comparison by string. And deletion based on partial match of post text","Surefire suite","Sun Jan 19 14:12:56 GMT 2025","passed","Sun Jan 19 14:13:01 GMT 2025","tests.DiscoverPageTest","Surefire test","tests.DiscoverPageTest","checkCreateNewPost"
"Test filter by muscles with validation of the number of exercises","4382","Test for displaying the number of exercises with a single filter by muscle. The number of exercises may vary","Surefire suite","Sun Jan 19 14:12:31 GMT 2025","passed","Sun Jan 19 14:12:36 GMT 2025","tests.ExerciseDatabasePageTest","Surefire test","tests.ExerciseDatabasePageTest","checkCountExercisesWithFilterByMuscle"
"Workout Sorting Test (Most Viewed).","4411","Test to display the most viewed workout","Surefire suite","Sun Jan 19 14:12:09 GMT 2025","passed","Sun Jan 19 14:12:14 GMT 2025","tests.RoutineDatabasePageTest","Surefire test","tests.RoutineDatabasePageTest","checkMostViewedPlan"
"Select most popular post","6049","Checking that the most popular article on a blog page matches the expected title.","Surefire suite","Sun Jan 19 14:11:23 GMT 2025","passed","Sun Jan 19 14:11:29 GMT 2025","tests.BlogPageTest","Surefire test","tests.BlogPageTest","checkPopularPost"
"Test of correct filter operation with filters","5995","Test for displaying the number of exercises with two filter muscle and difficulty. The number of exercises may vary","Surefire suite","Sun Jan 19 14:12:20 GMT 2025","passed","Sun Jan 19 14:12:26 GMT 2025","tests.ExerciseDatabasePageTest","Surefire test","tests.ExerciseDatabasePageTest","checkCorrectnessOfFiltersOperation"
"Test search workouts plan with filters","5849","Test for sorting workouts by two filters and comparing their number","Surefire suite","Sun Jan 19 14:12:14 GMT 2025","passed","Sun Jan 19 14:12:20 GMT 2025","tests.RoutineDatabasePageTest","Surefire test","tests.RoutineDatabasePageTest","checkSearchWorkoutsPlans"
"Test creating a new training day and delete after assert","17723","Test for creating a training day with the necessary parameters","Surefire suite","Sun Jan 19 14:11:30 GMT 2025","passed","Sun Jan 19 14:11:48 GMT 2025","tests.WorkoutsPageTest","Surefire test","tests.WorkoutsPageTest","checkCreateNewDayPlan"
"Test add session and delete after assert","12555","Test for creating a training session on the Progress page with name - Training Summary 1","Surefire suite","Sun Jan 19 14:12:43 GMT 2025","passed","Sun Jan 19 14:12:55 GMT 2025","tests.ProgressPageTest","Surefire test","tests.ProgressPageTest","checkAddSession"
"Test filter by equipment with validation of the number of exercises","4371","Test for displaying the number of exercises with a single filter by equipment. The number of exercises may vary","Surefire suite","Sun Jan 19 14:12:27 GMT 2025","passed","Sun Jan 19 14:12:31 GMT 2025","tests.ExerciseDatabasePageTest","Surefire test","tests.ExerciseDatabasePageTest","checkCountExercisesWithFilterByEquipment"
